DepartmentA,DepartmentB,Relationship
Upper Mgmt,Engineering,O
Upper Mgmt,Programming,O
Upper Mgmt,Conference Rooms,E
Upper Mgmt,Purchasing,O
Upper Mgmt,HR,O
Upper Mgmt,Break Rm North,U
Upper Mgmt,Break Rm South,U
Upper Mgmt,3D Printing,U
Upper Mgmt,2D Cutting,X
Upper Mgmt,Software Lab,U
Upper Mgmt,Assembly,X
Upper Mgmt,Metal Machine Shop,X
Upper Mgmt,Composite Machine Shop,X
Upper Mgmt,Ship/Receive,U
Upper Mgmt,Inventory,U
Upper Mgmt,Clean Rm N&S,U
Upper Mgmt,Freezers W & S,U
Upper Mgmt,Shop Manager,I
Upper Mgmt,Wet Layup,U
Upper Mgmt,Prepreg Layup,U
Upper Mgmt,Paint,X
Upper Mgmt,Cure Ovens,X
Upper Mgmt,Composite Sanding,X
Upper Mgmt,Autoclaves,X
Upper Mgmt,WIP North,U
Upper Mgmt,WIP South,U
Upper Mgmt,Test Lab,U
Engineering,Programming,E
Engineering,Conference Rooms,E
Engineering,Purchasing,O
Engineering,HR,U
Engineering,Break Rm North,U
Engineering,Break Rm South,U
Engineering,3D Printing,I
Engineering,2D Cutting,I
Engineering,Software Lab,E
Engineering,Assembly,E
Engineering,Metal Machine Shop,I
Engineering,Composite Machine Shop,I
Engineering,Ship/Receive,O
Engineering,Inventory,O
Engineering,Clean Rm N&S,O
Engineering,Freezers W & S,U
Engineering,Shop Manager,E
Engineering,Wet Layup,O
Engineering,Prepreg Layup,O
Engineering,Paint,U
Engineering,Cure Ovens,O
Engineering,Composite Sanding,O
Engineering,Autoclaves,O
Engineering,WIP North,U
Engineering,WIP South,U
Engineering,Test Lab,O
Programming,Conference Rooms,E
Programming,Purchasing,U
Programming,HR,U
Programming,Break Rm North,U
Programming,Break Rm South,U
Programming,3D Printing,I
Programming,2D Cutting,O
Programming,Software Lab,E
Programming,Assembly,I
Programming,Metal Machine Shop,U
Programming,Composite Machine Shop,U
Programming,Ship/Receive,U
Programming,Inventory,O
Programming,Clean Rm N&S,U
Programming,Freezers W & S,U
Programming,Shop Manager,I
Programming,Wet Layup,U
Programming,Prepreg Layup,U
Programming,Paint,U
Programming,Cure Ovens,X
Programming,Composite Sanding,U
Programming,Autoclaves,U
Programming,WIP North,U
Programming,WIP South,U
Programming,Test Lab,O
Conference Rooms,Purchasing,U
Conference Rooms,HR,U
Conference Rooms,Break Rm North,I
Conference Rooms,Break Rm South,I
Conference Rooms,3D Printing,U
Conference Rooms,2D Cutting,X
Conference Rooms,Software Lab,U
Conference Rooms,Assembly,X
Conference Rooms,Metal Machine Shop,X
Conference Rooms,Composite Machine Shop,X
Conference Rooms,Ship/Receive,U
Conference Rooms,Inventory,U
Conference Rooms,Clean Rm N&S,U
Conference Rooms,Freezers W & S,U
Conference Rooms,Shop Manager,O
Conference Rooms,Wet Layup,U
Conference Rooms,Prepreg Layup,U
Conference Rooms,Paint,X
Conference Rooms,Cure Ovens,X
Conference Rooms,Composite Sanding,X
Conference Rooms,Autoclaves,U
Conference Rooms,WIP North,U
Conference Rooms,WIP South,U
Conference Rooms,Test Lab,U
Purchasing,HR,U
Purchasing,Break Rm North,U
Purchasing,Break Rm South,U
Purchasing,3D Printing,U
Purchasing,2D Cutting,U
Purchasing,Software Lab,U
Purchasing,Assembly,U
Purchasing,Metal Machine Shop,I
Purchasing,Composite Machine Shop,I
Purchasing,Ship/Receive,E
Purchasing,Inventory,I
Purchasing,Clean Rm N&S,U
Purchasing,Freezers W & S,U
Purchasing,Shop Manager,O
Purchasing,Wet Layup,U
Purchasing,Prepreg Layup,U
Purchasing,Paint,U
Purchasing,Cure Ovens,X
Purchasing,Composite Sanding,U
Purchasing,Autoclaves,U
Purchasing,WIP North,U
Purchasing,WIP South,U
Purchasing,Test Lab,U
HR,Break Rm North,U
HR,Break Rm South,U
HR,3D Printing,U
HR,2D Cutting,U
HR,Software Lab,U
HR,Assembly,U
HR,Metal Machine Shop,U
HR,Composite Machine Shop,U
HR,Ship/Receive,U
HR,Inventory,U
HR,Clean Rm N&S,U
HR,Freezers W & S,U
HR,Shop Manager,I
HR,Wet Layup,U
HR,Prepreg Layup,U
HR,Paint,U
HR,Cure Ovens,X
HR,Composite Sanding,U
HR,Autoclaves,U
HR,WIP North,U
HR,WIP South,U
HR,Test Lab,U
Break Rm North,Break Rm South,U
Break Rm North,3D Printing,U
Break Rm North,2D Cutting,X
Break Rm North,Software Lab,U
Break Rm North,Assembly,X
Break Rm North,Metal Machine Shop,X
Break Rm North,Composite Machine Shop,X
Break Rm North,Ship/Receive,U
Break Rm North,Inventory,U
Break Rm North,Clean Rm N&S,U
Break Rm North,Freezers W & S,U
Break Rm North,Shop Manager,U
Break Rm North,Wet Layup,U
Break Rm North,Prepreg Layup,U
Break Rm North,Paint,X
Break Rm North,Cure Ovens,X
Break Rm North,Composite Sanding,X
Break Rm North,Autoclaves,X
Break Rm North,WIP North,X
Break Rm North,WIP South,X
Break Rm North,Test Lab,U
Break Rm South,3D Printing,U
Break Rm South,2D Cutting,X
Break Rm South,Software Lab,U
Break Rm South,Assembly,X
Break Rm South,Metal Machine Shop,X
Break Rm South,Composite Machine Shop,X
Break Rm South,Ship/Receive,U
Break Rm South,Inventory,U
Break Rm South,Clean Rm N&S,U
Break Rm South,Freezers W & S,U
Break Rm South,Shop Manager,U
Break Rm South,Wet Layup,U
Break Rm South,Prepreg Layup,U
Break Rm South,Paint,X
Break Rm South,Cure Ovens,X
Break Rm South,Composite Sanding,X
Break Rm South,Autoclaves,X
Break Rm South,WIP North,X
Break Rm South,WIP South,X
Break Rm South,Test Lab,U
3D Printing,2D Cutting,U
3D Printing,Software Lab,O
3D Printing,Assembly,I
